t_months,nn_output_unit_interval,true_sin4,period_months,phi_rad,phi_over_pi
1.077898248540450332e+01,3.636710496374155888e-01,4.298914228706556678e-02,1.873817422860383175e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.080900750625521312e+01,2.967110830393406284e-01,4.646611475108247680e-02,1.873817422860383175e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.083903252710592113e+01,2.713656389961737747e-01,5.012990895853123435e-02,1.873817422860383175e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.086905754795663093e+01,4.124417289707985601e-01,5.398472282662115929e-02,1.873817422860383175e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.089908256880733894e+01,1.891598181276265001e-01,5.803458065703628876e-02,1.873817422860383175e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.092910758965804874e+01,2.185217009536750410e-01,6.228332244443703092e-02,1.873817422860383175e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.095913261050875676e+01,1.506279187162652689e-01,6.673459343032028812e-02,1.873817422860383175e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.098915763135946655e+01,3.309412802978970447e-01,7.139183392089105962e-02,1.873817422860383175e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.101918265221017457e+01,4.036127865141371229e-01,7.625826938718591186e-02,1.873817422860383175e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.104920767306088436e+01,2.515572383500172537e-01,8.133690086525785512e-02,1.873817422860383175e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.107923269391159238e+01,0.000000000000000000e+00,8.663049567375248616e-02,1.873817422860383175e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.110925771476230217e+01,0.000000000000000000e+00,9.214157846572985922e-02,1.873817422860383175e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.113928273561301019e+01,1.212363408263277542e-01,9.787242263103605733e-02,1.873817422860383175e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.116930775646371998e+01,7.963946554905214359e-02,1.038250420650082273e-01,1.873817422860383175e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.119933277731442800e+01,6.665956319690231890e-02,1.100011833186864962e-01,1.873817422860383175e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.122935779816513779e+01,2.857954942185961800e-01,1.164023181451354222e-01,1.873817422860383175e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.125938281901584581e+01,3.728820103209170567e-01,1.230296364558242234e-01,1.873817422860383175e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.128940783986655561e+01,5.426156363231738888e-01,1.298840397003816483e-01,1.873817422860383175e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.131943286071726362e+01,4.211897028600133375e-01,1.369661346823586590e-01,1.873817422860383175e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.134945788156797342e+01,2.899013423782960119e-01,1.442762278229474948e-01,1.873817422860383175e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.137948290241868143e+01,3.038395034923260241e-01,1.518143198838747820e-01,1.873817422860383175e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.140950792326939123e+01,2.926027505959357122e-01,1.595801011599799479e-01,1.873817422860383175e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.143953294412009924e+01,1.232453873672503114e-01,1.675729471512028279e-01,1.873817422860383175e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.146955796497080904e+01,2.397387677469149103e-01,1.757919147229795032e-01,1.873817422860383175e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.149958298582151706e+01,3.780640916426837306e-01,1.842357387632172216e-01,1.873817422860383175e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.152960800667222685e+01,1.992995640560453197e-01,1.929028293432643593e-01,1.873817422860383175e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.155963302752293487e+01,2.715032954211407668e-01,2.017912693894484688e-01,1.873817422860383175e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.158965804837364466e+01,4.273882183414637326e-01,2.108988128709529675e-01,1.873817422860383175e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.161968306922435268e+01,6.031357220847356482e-01,2.202228835089645731e-01,1.873817422860383175e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.164970809007506247e+01,4.616799884487297612e-01,2.297605740111900163e-01,1.873817422860383175e+01,0.000000000000000000e+00,0.000000000000000000e+00
