T_months,phi_rad,phi_over_pi,auc_true,auc_nn
9.770099572992246522e+02,2.052728374217000162e+00,6.534037351632510093e-01,5.596745700664055301e-01,5.286745151764991046e-01
1.097498765493056680e+03,2.052728374217000162e+00,6.534037351632510093e-01,5.404998827521724225e-01,5.304852286407317763e-01
1.232846739442065882e+03,2.052728374217000162e+00,6.534037351632510093e-01,5.494864246432529242e-01,5.427441611328679416e-01
1.384886371393871741e+03,2.052728374217000162e+00,6.534037351632510093e-01,5.397292770065807987e-01,5.245252863236757879e-01
1.555676143930472335e+03,2.052728374217000162e+00,6.534037351632510093e-01,5.235951917935481870e-01,5.024536161619782559e-01
1.747528400007682876e+03,2.052728374217000162e+00,6.534037351632510093e-01,5.195696519307804184e-01,5.069669573964709075e-01
1.963040650040272340e+03,2.052728374217000162e+00,6.534037351632510093e-01,5.197949992681345499e-01,5.197181253939378021e-01
2.205130739903045651e+03,2.052728374217000162e+00,6.534037351632510093e-01,5.170257661436069574e-01,5.092384473549785850e-01
2.477076355991709079e+03,2.052728374217000162e+00,6.534037351632510093e-01,5.139503444248284536e-01,5.002627340849142845e-01
2.782559402207125913e+03,2.052728374217000162e+00,6.534037351632510093e-01,5.090749445126523387e-01,5.093907948506546379e-01
3.125715849688235267e+03,2.052728374217000162e+00,6.534037351632510093e-01,5.256389073099912990e-01,4.758060134693109511e-01
3.511191734215127326e+03,2.052728374217000162e+00,6.534037351632510093e-01,5.110947623827147845e-01,4.921839293555700379e-01
3.944206059437656222e+03,2.052728374217000162e+00,6.534037351632510093e-01,5.005206139604075899e-01,5.014422602991388533e-01
4.430621457583877600e+03,2.052728374217000162e+00,6.534037351632510093e-01,5.137115546613852946e-01,5.047725280125223701e-01
4.977023564332113892e+03,2.052728374217000162e+00,6.534037351632510093e-01,5.079585696959920682e-01,4.961894922795666574e-01
5.590810182512223037e+03,2.052728374217000162e+00,6.534037351632510093e-01,4.958491841940966816e-01,4.965087032240911857e-01
6.280291441834246143e+03,2.052728374217000162e+00,6.534037351632510093e-01,5.092770476548940106e-01,5.069546818476464711e-01
7.054802310718645458e+03,2.052728374217000162e+00,6.534037351632510093e-01,5.027873430596753179e-01,5.024269646852530524e-01
7.924828983539169712e+03,2.052728374217000162e+00,6.534037351632510093e-01,5.067863714709897049e-01,4.944330619456865916e-01
8.902150854450392217e+03,2.052728374217000162e+00,6.534037351632510093e-01,5.005343364370401504e-01,5.026664545750549884e-01
1.000000000000000000e+04,2.052728374217000162e+00,6.534037351632510093e-01,5.002581132509462680e-01,4.925631644665896536e-01
1.000000000000000056e-01,2.420014265287000033e+00,7.703144653466548197e-01,7.692801730189597897e-01,6.762643255188028890e-01
1.123324032978027381e-01,2.420014265287000033e+00,7.703144653466548197e-01,7.717242674624582577e-01,6.885479958089503194e-01
1.261856883066020396e-01,2.420014265287000033e+00,7.703144653466548197e-01,7.778700699902318938e-01,6.671965689701009339e-01
1.417474162926805059e-01,2.420014265287000033e+00,7.703144653466548197e-01,7.694411087313038911e-01,6.959826376131030834e-01
1.592282793341092129e-01,2.420014265287000033e+00,7.703144653466548197e-01,7.658147342432362059e-01,6.527886219571574777e-01
1.788649529057435017e-01,2.420014265287000033e+00,7.703144653466548197e-01,7.594550664503929571e-01,6.936654994160011967e-01
2.009233002565046777e-01,2.420014265287000033e+00,7.703144653466548197e-01,7.726692513464830103e-01,6.749244703684120772e-01
2.257019719633920340e-01,2.420014265287000033e+00,7.703144653466548197e-01,7.679915671180335135e-01,6.474903923993535759e-01
2.535364493970111432e-01,2.420014265287000033e+00,7.703144653466548197e-01,7.720914137250157738e-01,6.771466714312598389e-01
2.848035868435802032e-01,2.420014265287000033e+00,7.703144653466548197e-01,7.689691302152878993e-01,6.865176293684149833e-01
3.199267137797383587e-01,2.420014265287000033e+00,7.703144653466548197e-01,7.677238387984263168e-01,6.927740051857892434e-01
3.593813663804627523e-01,2.420014265287000033e+00,7.703144653466548197e-01,7.711541779060284707e-01,6.971596433724358555e-01
4.037017258596554692e-01,2.420014265287000033e+00,7.703144653466548197e-01,7.657360400405065493e-01,6.826464440302186798e-01
4.534878508128581953e-01,2.420014265287000033e+00,7.703144653466548197e-01,7.744096721242915704e-01,7.060634770029960983e-01
5.094138014816379512e-01,2.420014265287000033e+00,7.703144653466548197e-01,7.688024067917111903e-01,7.157929463109501400e-01
5.722367659350217073e-01,2.420014265287000033e+00,7.703144653466548197e-01,7.664644515042075001e-01,7.079939120745846193e-01
6.428073117284320848e-01,2.420014265287000033e+00,7.703144653466548197e-01,7.774465402182452189e-01,7.166679642341849954e-01
7.220809018385463407e-01,2.420014265287000033e+00,7.703144653466548197e-01,7.679431183740043076e-01,7.109231940847350328e-01
8.111308307896870629e-01,2.420014265287000033e+00,7.703144653466548197e-01,7.729091613121001902e-01,7.013125128823251009e-01
9.111627561154891364e-01,2.420014265287000033e+00,7.703144653466548197e-01,7.741790971767918972e-01,7.114603310272105130e-01
1.023531021899026339e+00,2.420014265287000033e+00,7.703144653466548197e-01,7.785878395332789248e-01,6.739834538670872455e-01
1.149756995397735571e+00,2.420014265287000033e+00,7.703144653466548197e-01,7.685509214036282399e-01,7.171053098329853714e-01
1.291549665014884107e+00,2.420014265287000033e+00,7.703144653466548197e-01,7.640015936742929892e-01,7.056511492527505203e-01
1.450828778495939497e+00,2.420014265287000033e+00,7.703144653466548197e-01,7.758163660044030685e-01,7.172713798052938738e-01
1.629750834620644406e+00,2.420014265287000033e+00,7.703144653466548197e-01,7.719135816298791086e-01,7.144633596804885745e-01
1.830738280295367781e+00,2.420014265287000033e+00,7.703144653466548197e-01,7.839278432971583666e-01,7.350171558962962370e-01
2.056512308348651619e+00,2.420014265287000033e+00,7.703144653466548197e-01,7.702579228165765679e-01,7.303207082814306972e-01
2.310129700083159321e+00,2.420014265287000033e+00,7.703144653466548197e-01,7.710772573567410415e-01,7.184991213880946859e-01
2.595024211399735936e+00,2.420014265287000033e+00,7.703144653466548197e-01,7.712732927372065728e-01,7.357475743888923780e-01
2.915053062825175623e+00,2.420014265287000033e+00,7.703144653466548197e-01,7.690939394075175795e-01,7.280067439904887028e-01
3.274549162877728570e+00,2.420014265287000033e+00,7.703144653466548197e-01,7.628429312255609052e-01,7.109126455142623646e-01
3.678379771828632183e+00,2.420014265287000033e+00,7.703144653466548197e-01,7.732910569032833692e-01,7.355058440947421783e-01
4.132012400115336881e+00,2.420014265287000033e+00,7.703144653466548197e-01,7.765304015402032523e-01,7.278942103470833480e-01
4.641588833612779297e+00,2.420014265287000033e+00,7.703144653466548197e-01,7.741196331113839868e-01,7.053521952975406739e-01
5.214008287999684299e+00,2.420014265287000033e+00,7.703144653466548197e-01,7.704152178718547406e-01,7.352449303383608026e-01
5.857020818056667189e+00,2.420014265287000033e+00,7.703144653466548197e-01,7.689825726413770379e-01,7.178024956610835616e-01
6.579332246575678944e+00,2.420014265287000033e+00,7.703144653466548197e-01,7.604959209704834633e-01,7.277147446237763884e-01
7.390722033525778834e+00,2.420014265287000033e+00,7.703144653466548197e-01,7.890411928211469306e-01,7.536564799214962029e-01
8.302175681319743816e+00,2.420014265287000033e+00,7.703144653466548197e-01,7.779829303592712408e-01,7.395992962143140836e-01
9.326033468832198636e+00,2.420014265287000033e+00,7.703144653466548197e-01,7.909531912319536229e-01,7.560650546210579970e-01
1.047615752789665144e+01,2.420014265287000033e+00,7.703144653466548197e-01,7.666911057440979338e-01,7.379565197260136156e-01
1.176811952434997899e+01,2.420014265287000033e+00,7.703144653466548197e-01,7.782804373866728520e-01,7.418116021579574948e-01
1.321941148466028793e+01,2.420014265287000033e+00,7.703144653466548197e-01,7.928548277726498172e-01,7.596943696398326118e-01
1.484968262254465010e+01,2.420014265287000033e+00,7.703144653466548197e-01,7.686200938878782196e-01,7.393558389418122268e-01
1.668100537200059108e+01,2.420014265287000033e+00,7.703144653466548197e-01,7.905148187811602556e-01,7.317718368477809099e-01
1.873817422860383175e+01,2.420014265287000033e+00,7.703144653466548197e-01,7.782491650759795210e-01,7.394785477549655761e-01
2.104904144512019570e+01,2.420014265287000033e+00,7.703144653466548197e-01,7.864320552573328404e-01,7.528770525837835681e-01
2.364489412645407285e+01,2.420014265287000033e+00,7.703144653466548197e-01,7.705460948258608944e-01,7.396073243298950661e-01
2.656087782946686815e+01,2.420014265287000033e+00,7.703144653466548197e-01,7.814323129038328597e-01,7.517735600921253702e-01
