injected_period_months,phi_rad,bestfit_period_months,max_ls_power,global_pvalue_conditional,n_null_toys
5.336699231206306848e+01,1.737337002562999944e+00,2.983647240283340452e+01,7.410243290312962250e-01,1.000000000000000000e+00,2.000000000000000000e+02
5.336699231206306848e+01,1.892154948508000034e+00,2.656087782946686815e+01,7.840496933618398279e-01,4.975124378109452641e-03,2.000000000000000000e+02
5.336699231206306848e+01,1.952756727841000073e+00,2.656087782946686815e+01,6.621402925125288164e-01,4.975124378109452641e-03,2.000000000000000000e+02
5.336699231206306848e+01,2.052728374217000162e+00,2.656087782946686815e+01,6.410435867729563642e-01,4.975124378109452641e-03,2.000000000000000000e+02
5.336699231206306848e+01,2.420014265287000033e+00,2.656087782946686815e+01,8.787782197416832419e-01,4.975124378109452641e-03,2.000000000000000000e+02
5.336699231206306848e+01,2.512798025970000015e+00,2.656087782946686815e+01,7.804970643567166189e-01,4.975124378109452641e-03,2.000000000000000000e+02
5.336699231206306848e+01,2.538681563927999818e+00,2.656087782946686815e+01,8.678528480111223908e-01,4.975124378109452641e-03,2.000000000000000000e+02
5.336699231206306848e+01,2.631502027943000144e+00,2.656087782946686815e+01,8.031898369614124400e-01,4.975124378109452641e-03,2.000000000000000000e+02
5.336699231206306848e+01,2.635677408799999899e+00,2.656087782946686815e+01,9.191966178026061973e-01,4.975124378109452641e-03,2.000000000000000000e+02
5.336699231206306848e+01,2.838983169807999918e+00,2.656087782946686815e+01,7.132277064699936719e-01,4.975124378109452641e-03,2.000000000000000000e+02
5.336699231206306848e+01,2.912014714116000214e+00,2.656087782946686815e+01,7.792581932680269219e-01,4.975124378109452641e-03,2.000000000000000000e+02
5.336699231206306848e+01,3.020432623406000161e+00,2.656087782946686815e+01,7.424213497968488173e-01,4.975124378109452641e-03,2.000000000000000000e+02
5.994842503189408944e+01,0.000000000000000000e+00,2.983647240283340452e+01,6.953085527908662300e-01,6.467661691542288260e-02,2.000000000000000000e+02
5.994842503189408944e+01,9.577788161520000010e-01,3.764935806792467332e+01,6.946010543657475944e-01,1.000000000000000000e+00,2.000000000000000000e+02
5.994842503189408944e+01,1.103696963161999944e+00,3.764935806792467332e+01,6.876804151611564109e-01,1.000000000000000000e+00,2.000000000000000000e+02
5.994842503189408944e+01,1.117018429158999959e+00,4.229242874389498752e+01,6.686151259316918116e-01,9.203980099502487855e-01,2.000000000000000000e+02
5.994842503189408944e+01,1.310960399647999930e+00,3.764935806792467332e+01,7.506239918681624212e-01,1.000000000000000000e+00,2.000000000000000000e+02
